id,category,difficulty,question,choice1,choice2,choice3,choice4,answer,explanation,era,tags,source
gpq_00001,歴代王者・記録,2,1950年のF1ドライバーズチャンピオンは誰？,ジュゼッペ・ファリーナ,ロニー・ピーターソン,カルロス・サインツ,フェルナンド・アロンソ,0,1950年のドライバーズチャンピオンはジュゼッペ・ファリーナです。,1950s,champion|driver,Formula 1公式 Results Archive
gpq_00002,歴代王者・記録,2,1951年のF1ドライバーズチャンピオンは誰？,ケビン・マグヌッセン,角田裕毅,ネルソン・ピケ,ファン・マヌエル・ファンジオ,3,1951年のドライバーズチャンピオンはファン・マヌエル・ファンジオです。,1950s,champion|driver,Formula 1公式 Results Archive
gpq_00003,歴代王者・記録,2,1952年のF1ドライバーズチャンピオンは誰？,ガブリエル・ボルトレト,ジェームス・ハント,アルベルト・アスカリ,アレクサンダー・アルボン,2,1952年のドライバーズチャンピオンはアルベルト・アスカリです。,1950s,champion|driver,Formula 1公式 Results Archive
gpq_00004,歴代王者・記録,2,1953年のF1ドライバーズチャンピオンは誰？,ジョディー・シェクター,スターリング・モス,ガブリエル・ボルトレト,アルベルト・アスカリ,3,1953年のドライバーズチャンピオンはアルベルト・アスカリです。,1950s,champion|driver,Formula 1公式 Results Archive
gpq_00005,歴代王者・記録,2,1954年のF1ドライバーズチャンピオンは誰？,キミ・アントネッリ,セバスチャン・ベッテル,フェルナンド・アロンソ,ファン・マヌエル・ファンジオ,3,1954年のドライバーズチャンピオンはファン・マヌエル・ファンジオです。,1950s,champion|driver,Formula 1公式 Results Archive
gpq_00006,歴代王者・記録,2,1955年のF1ドライバーズチャンピオンは誰？,グラハム・ヒル,ジュゼッペ・ファリーナ,ミハエル・シューマッハ,ファン・マヌエル・ファンジオ,3,1955年のドライバーズチャンピオンはファン・マヌエル・ファンジオです。,1950s,champion|driver,Formula 1公式 Results Archive
gpq_00007,歴代王者・記録,2,1956年のF1ドライバーズチャンピオンは誰？,ジョン・サーティース,ジェームス・ハント,オリバー・ベアマン,ファン・マヌエル・ファンジオ,3,1956年のドライバーズチャンピオンはファン・マヌエル・ファンジオです。,1950s,champion|driver,Formula 1公式 Results Archive
gpq_00008,歴代王者・記録,2,1957年のF1ドライバーズチャンピオンは誰？,ファン・マヌエル・ファンジオ,ケケ・ロズベルグ,スターリング・モス,ヨッヘン・リント,0,1957年のドライバーズチャンピオンはファン・マヌエル・ファンジオです。,1950s,champion|driver,Formula 1公式 Results Archive
gpq_00009,歴代王者・記録,2,1958年のF1ドライバーズチャンピオンは誰？,ミハエル・シューマッハ,マイク・ホーソーン,ニキ・ラウダ,マックス・フェルスタッペン,1,1958年のドライバーズチャンピオンはマイク・ホーソーンです。,1950s,champion|driver,Formula 1公式 Results Archive
gpq_00010,歴代王者・記録,2,1959年のF1ドライバーズチャンピオンは誰？,ジャック・ブラバム,ジョディー・シェクター,ルイス・ハミルトン,セバスチャン・ベッテル,0,1959年のドライバーズチャンピオンはジャック・ブラバムです。,1950s,champion|driver,Formula 1公式 Results Archive
gpq_00011,歴代王者・記録,2,1960年のF1ドライバーズチャンピオンは誰？,ケビン・マグヌッセン,ジャック・ブラバム,ヨッヘン・リント,デイモン・ヒル,1,1960年のドライバーズチャンピオンはジャック・ブラバムです。,1960s,champion|driver,Formula 1公式 Results Archive
gpq_00012,歴代王者・記録,2,1961年のF1ドライバーズチャンピオンは誰？,フィル・ヒル,アルベルト・アスカリ,ファン・マヌエル・ファンジオ,周冠宇,0,1961年のドライバーズチャンピオンはフィル・ヒルです。,1960s,champion|driver,Formula 1公式 Results Archive
gpq_00013,歴代王者・記録,2,1962年のF1ドライバーズチャンピオンは誰？,グラハム・ヒル,キミ・アントネッリ,ランス・ストロール,デニス・ハルム,0,1962年のドライバーズチャンピオンはグラハム・ヒルです。,1960s,champion|driver,Formula 1公式 Results Archive
gpq_00014,歴代王者・記録,2,1963年のF1ドライバーズチャンピオンは誰？,ジム・クラーク,ルイス・ハミルトン,セルジオ・ペレス,オリバー・ベアマン,0,1963年のドライバーズチャンピオンはジム・クラークです。,1960s,champion|driver,Formula 1公式 Results Archive
gpq_00015,歴代王者・記録,2,1964年のF1ドライバーズチャンピオンは誰？,マリオ・アンドレッティ,ジョン・サーティース,ローガン・サージェント,カルロス・サインツ,1,1964年のドライバーズチャンピオンはジョン・サーティースです。,1960s,champion|driver,Formula 1公式 Results Archive
